DL1,DL2,DL3,DL4,DL5,DL6,DL7,DL8,DL9,DL10,DL11,DL12,DL13,DL14
1e+20,1.9521e+11,6.0666e+10,235.47,261.44,3.9922e+10,53.285,2.6476e+10,32.055,22.707,23.836,16.32,27.463,4.3225
1e+20,1.9412e+11,6.0066e+10,231.87,257.88,3.9632e+10,52.41,2.6271e+10,31.356,22.248,23.518,16.198,27.224,4.1875
1e+20,1.9296e+11,5.9443e+10,228.1,254.12,3.9323e+10,51.496,2.6054e+10,30.632,21.772,23.188,16.071,26.976,4.0497
1e+20,1.9175e+11,5.8795e+10,224.17,250.17,3.8993e+10,50.541,2.5826e+10,29.882,21.281,22.843,15.939,26.719,3.909
1e+20,1.9047e+11,5.8122e+10,220.06,246.01,3.8641e+10,49.543,2.5585e+10,29.105,20.773,22.484,15.802,26.451,3.7655
1e+20,1.8911e+11,5.7421e+10,215.76,241.65,3.8265e+10,48.501,2.5331e+10,28.301,20.247,22.11,15.659,26.173,3.619
1e+20,1.8769e+11,5.6691e+10,211.28,237.07,3.7866e+10,47.413,2.5062e+10,27.467,19.703,21.72,15.51,25.883,3.4695
1e+20,1.8619e+11,5.5931e+10,206.6,232.27,3.7439e+10,46.275,2.4778e+10,26.603,19.14,21.313,15.354,25.58,3.3167
1e+20,1.846e+11,5.5138e+10,201.72,227.23,3.6985e+10,45.084,2.4477e+10,25.706,18.556,20.886,15.191,25.265,3.1606
1e+20,1.8292e+11,5.431e+10,196.61,221.94,3.65e+10,43.838,2.4158e+10,24.775,17.949,20.44,15.02,24.934,3.001
1e+20,1.8115e+11,5.3444e+10,191.28,216.38,3.5981e+10,42.531,2.3819e+10,23.807,17.319,19.972,14.84,24.588,2.8376
1e+20,1.7927e+11,5.2538e+10,185.7,210.55,3.5426e+10,41.157,2.3457e+10,22.8,16.663,19.479,14.65,24.223,2.6703
1e+20,1.7728e+11,5.1587e+10,179.85,204.41,3.4832e+10,39.712,2.307e+10,21.749,15.978,18.959,14.45,23.839,2.4986
1e+20,1.7516e+11,5.0587e+10,173.71,197.95,3.4192e+10,38.185,2.2655e+10,20.65,15.261,18.408,14.237,23.432,2.3223
1e+20,1.729e+11,4.9532e+10,167.25,191.13,3.3502e+10,36.566,2.2208e+10,19.497,14.507,17.822,14.009,23,2.1407
1e+20,1.7049e+11,4.8416e+10,160.42,183.91,3.2754e+10,34.841,2.1723e+10,18.281,13.711,17.194,13.765,22.538,1.9532
1e+20,1.6789e+11,4.7228e+10,153.18,176.24,3.1938e+10,32.988,2.1192e+10,16.992,12.865,16.517,13.501,22.039,1.7589
1e+20,1.6508e+11,4.5956e+10,145.43,168.04,3.104e+10,30.978,2.0604e+10,15.613,11.955,15.777,13.212,21.498,1.5564
1e+20,1.6202e+11,4.4582e+10,137.04,159.17,3.0041e+10,28.762,1.9943e+10,14.115,10.963,14.954,12.891,20.901,1.3436
1e+20,1.5865e+11,4.3076e+10,127.79,149.45,2.8906e+10,26.253,1.918e+10,12.454,9.8537,14.013,12.528,20.229,1.117
1e+20,1.5485e+11,4.1382e+10,117.18,138.41,2.7571e+10,23.27,1.8253e+10,10.533,8.5548,12.878,12.1,19.444,0.86992
1e+20,1.5036e+11,3.9352e+10,103.69,124.77,2.5853e+10,19.282,1.6988e+10,8.0901,6.8618,11.327,11.548,18.441,0.5855
1e+20,1.4285e+11,3.5446e+10,71.333,94.391,2.1885e+10,9.9317,1.3464e+10,3.3122,3.2132,7.2053,10.247,16.13,0.16851
